onset	duration	value	trial_type
25.991	0.0	32768	button
27.606	0.0	3	audiovis/1200Hz
27.96	0.0	32768	button
29.59	0.0	1	audiovis/300Hz
29.925	0.0	32768	button
33.508	0.0	2	audiovis/600Hz
33.896	0.0	32768	button
35.458	0.0	2	audiovis/600Hz
35.74	0.0	32768	button
41.477	0.0	3	audiovis/1200Hz
41.767	0.0	32768	button
43.377	0.0	1	audiovis/300Hz
43.728	0.0	32768	button
45.361	0.0	5	catch/vis
45.666	0.0	32768	button
47.312	0.0	3	audiovis/1200Hz
47.585	0.0	32768	button
49.313	0.0	1	audiovis/300Hz
49.609	0.0	32768	button
57.332	0.0	2	audiovis/600Hz
57.571	0.0	32768	button
59.299	0.0	4	catch/audio
59.62	0.0	32768	button
61.283	0.0	1	audiovis/300Hz
61.62	0.0	32768	button
65.068	0.0	1	audiovis/300Hz
65.321	0.0	32768	button
69.019	0.0	1	audiovis/300Hz
69.312	0.0	32768	button
70.986	0.0	2	audiovis/600Hz
71.211	0.0	32768	button
72.97	0.0	5	catch/vis
73.279	0.0	32768	button
74.888	0.0	1	audiovis/300Hz
75.169	0.0	32768	button
80.99	0.0	3	audiovis/1200Hz
81.227	0.0	32768	button
82.77	0.0	32768	button
90.826	0.0	2	audiovis/600Hz
91.165	0.0	32768	button
92.794	0.0	3	audiovis/1200Hz
93.096	0.0	32768	button
94.761	0.0	1	audiovis/300Hz
95.009	0.0	32768	button
96.761	0.0	3	audiovis/1200Hz
97.026	0.0	32768	button
100.763	0.0	2	audiovis/600Hz
101.039	0.0	32768	button
102.647	0.0	3	audiovis/1200Hz
102.877	0.0	32768	button
104.597	0.0	2	audiovis/600Hz
104.798	0.0	32768	button
108.599	0.0	1	audiovis/300Hz
108.887	0.0	32768	button
110.566	0.0	2	audiovis/600Hz
110.879	0.0	32768	button
112.517	0.0	3	audiovis/1200Hz
112.775	0.0	32768	button
114.367	0.0	2	audiovis/600Hz
114.604	0.0	32768	button
118.419	0.0	3	audiovis/1200Hz
118.667	0.0	32768	button
130.356	0.0	3	audiovis/1200Hz
130.628	0.0	32768	button
144.127	0.0	1	audiovis/300Hz
144.537	0.0	32768	button
148.045	0.0	2	audiovis/600Hz
148.32	0.0	32768	button
150.046	0.0	2	audiovis/600Hz
150.258	0.0	32768	button
154.014	0.0	3	audiovis/1200Hz
154.277	0.0	32768	button
156.081	0.0	3	audiovis/1200Hz
156.266	0.0	32768	button
157.931	0.0	1	audiovis/300Hz
158.226	0.0	32768	button
159.932	0.0	2	audiovis/600Hz
160.211	0.0	32768	button
161.866	0.0	2	audiovis/600Hz
162.104	0.0	32768	button
167.785	0.0	3	audiovis/1200Hz
168.091	0.0	32768	button
169.885	0.0	3	audiovis/1200Hz
170.147	0.0	32768	button
173.67	0.0	1	audiovis/300Hz
173.981	0.0	32768	button
175.687	0.0	2	audiovis/600Hz
175.972	0.0	32768	button
177.671	0.0	2	audiovis/600Hz
177.999	0.0	32768	button
185.674	0.0	3	audiovis/1200Hz
185.991	0.0	32768	button
189.608	0.0	1	audiovis/300Hz
189.911	0.0	32768	button
191.576	0.0	1	audiovis/300Hz
191.84	0.0	32768	button
193.543	0.0	4	catch/audio
193.878	0.0	32768	button
195.427	0.0	1	audiovis/300Hz
195.691	0.0	32768	button
199.362	0.0	3	audiovis/1200Hz
199.624	0.0	32768	button
205.297	0.0	3	audiovis/1200Hz
205.614	0.0	32768	button
207.298	0.0	2	audiovis/600Hz
207.56	0.0	32768	button
213.216	0.0	2	audiovis/600Hz
213.505	0.0	32768	button
217.151	0.0	2	audiovis/600Hz
217.372	0.0	32768	button
221.202	0.0	1	audiovis/300Hz
221.507	0.0	32768	button
225.187	0.0	3	audiovis/1200Hz
225.395	0.0	32768	button
230.955	0.0	3	audiovis/1200Hz
231.24	0.0	32768	button
236.991	0.0	3	audiovis/1200Hz
237.224	0.0	32768	button
241.009	0.0	5	catch/vis
241.324	0.0	32768	button
246.96	0.0	3	audiovis/1200Hz
247.288	0.0	32768	button
250.845	0.0	3	audiovis/1200Hz
251.075	0.0	32768	button
260.765	0.0	3	audiovis/1200Hz
261.053	0.0	32768	button
266.7	0.0	3	audiovis/1200Hz
266.968	0.0	32768	button
268.684	0.0	3	audiovis/1200Hz
268.927	0.0	32768	button
272.486	0.0	2	audiovis/600Hz
272.74	0.0	32768	button
280.538	0.0	1	audiovis/300Hz
280.837	0.0	32768	button
282.539	0.0	3	audiovis/1200Hz
282.899	0.0	32768	button
284.456	0.0	1	audiovis/300Hz
284.804	0.0	32768	button
286.357	0.0	1	audiovis/300Hz
286.683	0.0	32768	button
288.307	0.0	2	audiovis/600Hz
288.612	0.0	32768	button
292.425	0.0	3	audiovis/1200Hz
292.65	0.0	32768	button
296.177	0.0	3	audiovis/1200Hz
